address,trash_day
"1625 11th Ave, Brooklyn, NY, USA",FRI
"1626 10th Ave, Brooklyn, NY, USA",MON
"1626 10th Ave, Brooklyn, NY, USA",THU
"1626 11th Ave, Brooklyn, NY, USA",TUE
"1626 11th Ave, Brooklyn, NY, USA",FRI
"1626 8th Ave, Brooklyn, NY, USA",WED
"1626 8th Ave, Brooklyn, NY, USA",SAT
"1629 8th Ave, Brooklyn, NY, USA",WED
"1629 8th Ave, Brooklyn, NY, USA",SAT
"1630 8th Ave, Brooklyn, NY, USA",WED
"1630 8th Ave, Brooklyn, NY, USA",SAT
"1632 8th Ave, Brooklyn, NY, USA",WED
"1632 8th Ave, Brooklyn, NY, USA",SAT
"1638 8th Ave, Brooklyn, NY, USA",WED
"1638 8th Ave, Brooklyn, NY, USA",SAT
"164 7th Ave, Brooklyn, NY, USA",WED
"164 7th Ave, Brooklyn, NY, USA",SAT
"1643 8th Ave, Brooklyn, NY, USA",WED
"1643 8th Ave, Brooklyn, NY, USA",SAT
"1645 8th Ave, Brooklyn, NY, USA",WED
"1645 8th Ave, Brooklyn, NY, USA",SAT
"1647 8th Ave, Brooklyn, NY, USA",WED
"1647 8th Ave, Brooklyn, NY, USA",SAT
"1649 11th Ave, Brooklyn, NY, USA",TUE
"1649 11th Ave, Brooklyn, NY, USA",FRI
"1649 8th Ave, Brooklyn, NY, USA",WED
"1649 8th Ave, Brooklyn, NY, USA",SAT
"165 2nd Ave, Brooklyn, NY, USA",MON
"165 2nd Ave, Brooklyn, NY, USA",THU
"165 9th St, Brooklyn, NY, USA",MON
"165 9th St, Brooklyn, NY, USA",THU
"1650 11th Ave, Brooklyn, NY, USA",TUE
"1650 11th Ave, Brooklyn, NY, USA",FRI
"1651 8th Ave, Brooklyn, NY, USA",WED
"1651 8th Ave, Brooklyn, NY, USA",SAT
"1657 8th Ave, Brooklyn, NY, USA",WED
"1657 8th Ave, Brooklyn, NY, USA",SAT
"166 17th St, Brooklyn, NY, USA",MON
"166 17th St, Brooklyn, NY, USA",THU
"1661 11th Ave, Brooklyn, NY, USA",TUE
"1661 11th Ave, Brooklyn, NY, USA",FRI
"1661 8th Ave, Brooklyn, NY, USA",WED
"1661 8th Ave, Brooklyn, NY, USA",SAT
"1662 8th Ave, Brooklyn, NY, USA",WED
